restaurant_name,address,price,smiles,frowns,type1,type2,type3,type4,region,avg_price,simp_type,Districts,DistrictValue,lon,lat
Cafde Coral,"Shop 109, Marina Square West Commercial Block, South Horizons, Ap Lei Chau",Below $50,2,1,Hong Kong Style,Meatless Menu,Fast Food,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
Classified,"1/F Horizon Plaza,  2 Lee Wing Street, Ap Lei Chau",$101-$200,1,0,Western,Meatless Menu,All Day Breakfast,Western Restaurant,Ap Lei Chau,300,Western,Southern,11,114.1526494,22.239086
Leisure Corner,"1/F Ap Lei Chau Sports Centre, 8 Hung Shing Street, Ap Lei Chau",Below $50,8,0,Western,Western Restaurant,,,Ap Lei Chau,40,Western,Southern,11,114.1554216,22.2445
,"67 Ap Lei Chau Main Street, Ap Lei Chau",$51-$100,4,1,Hong Kong Style,Seafood,Seafood Restaurant,,Ap Lei Chau,75,Hong Kong,Southern,11,114.155704,22.2439262
Green River Restaurant,"Shop 104, G/F., Lei Tung Commercial Centre Phrase 1, Ap Lei Chau",$51-$100,1,0,Hong Kong Style,Tea Restaurant,,,Ap Lei Chau,75,Hong Kong,Southern,11,114.1528532,22.2418581
Sift Patisserie,"22/F Horizon Plaza, unit 17-19, Ap Lei Chau, Ap Lei Chau",$51-$100,10,4,Western,Dessert,,,Ap Lei Chau,75,Western,Southern,11,114.1482026,22.2443211
Maxim's Hong Kong Day,"Shop G03, Marina Square West Sqaure, Ap Lei Chau",Below $50,4,3,Hong Kong Style,Tea Restaurant,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
,"G/F, 43 Ap Lei Chau Main Street, Ap Lei Chau",Below $50,2,1,Dessert,,,,Ap Lei Chau,40,Others,Southern,11,114.1564028,22.2441517
Pizza Hut,"Shop 25-30, G/F, Lei Yee House, Ap Lei Chau Estate, Ap Lei Chau",$101-$200,1,0,Italian,Pizza,Takeaway,Western Restaurant,Ap Lei Chau,300,Western,Southern,11,114.1528532,22.2418581
,"128 Ap Lei Chau Main Street, Ap Lei Chau",Below $50,7,0,Hong Kong Style,Snack Shop & Deli,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.154269,22.2436985
McDonald's,"Shop 205, 2/F, Marina Square West Centre, 12A South Horizon Drive, Ap Lei Chau",Below $50,0,0,American,Hamburger,Fast Food,,Ap Lei Chau,40,Western,Southern,11,114.1467731,22.2438301
Erawan Thai Restaurant,"G/F, Fortune Mansion, 57-63 Ap Lei Chau Main Street, Ap Lei Chau",$51-$100,0,0,Thai,BBQ,Curry,Skewer,Ap Lei Chau,75,Asian,Southern,11,114.1559635,22.243939
STIR - FRY KING,"G/F, 119-121 Main Street Ap Lei Chau, Ap Lei Chau",$51-$100,4,2,Guangdong,Stir-Fry,,,Ap Lei Chau,75,Hong Kong,Southern,11,114.154606,22.243561
,"G/F, Lei Tim House, Ap Lei Chau",Below $50,4,0,Hong Kong Style,Noodles/Rice Noodles,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.151259,22.2447315
Hoixe Cake Shop,"Shop 41-42, G/F, Lei Chak House, Ap Lei Chau Estate, Ap Lei Chau",Below $50,1,0,Hong Kong Style,Bakery,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
Sushieki,"G/F, 48 Ap Lei Chau Main Street, Ap Lei Chau",$51-$100,1,0,Japanese,Sushi/Sashimi,Udon,Skewer,Ap Lei Chau,75,Asian,Southern,11,114.1562736,22.2443858
Starbucks Coffee,"Shop G49D, G/F, West Commercial Block, Marina Square, Ap Lei Chau",Below $50,1,0,American,Salad,Coffee Shop,Casual Drink,Ap Lei Chau,40,Western,Southern,11,114.1467731,22.2438301
Maxim's Cake Shop,"Shop 12, G/F, Marina Square, South Horizons, Ap Lei Chau",Below $50,2,0,Hong Kong Style,Bakery,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1467731,22.2438301
,"1/F, Ap Lei Chau Municipal Services Building, Main Street, Ap Lei Chau",Below $50,2,0,Hong Kong Style,Seafood,Noodles/Rice Noodles,Wonton/Dumpling,Ap Lei Chau,40,Hong Kong,Southern,11,114.155237,22.24391
Rich Garden Restaurant,"Shop301, 302&313, 3/F, Marina Square West, South Horizons, Ap Lei Chau",$101-$200,2,0,Guangdong,Dim Sum Restaurant,,,Ap Lei Chau,300,Hong Kong,Southern,11,-80.5816778,34.5280458
The 8th Estate Winery,"Room 302, 3/F Harbour Industrial Centre, 10 Lee Hing Street, Ap Lei Chau",$201-$400,1,0,International,Wine/Cigar,Bar,,Ap Lei Chau,150,International,Southern,11,114.1533805,22.238014
Hoixe Cake Shop,"G/F, Lei Tung Commercial Centre Phase 2, Ap Lei Chau",Below $50,0,0,Hong Kong Style,Bakery,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
Chau Ka Yuen Herbal Tea,"G/F, 52 Ap Lei Chau Main Street, Ap Lei Chau",Below $50,5,0,Guangdong,Herbal Tea,Dessert,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1561714,22.2442598
Chung Cheong(gh)Restaurant(),"28 Main Street, Ap Lei Chai, Ap Lei Chau",Below $50,0,0,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Ap Lei Chau,40,Hong Kong,Southern,11,114.156809,22.244554
Shing Shun Seafood Restaurant,"No. 1-12, G/F, Lee Tim House, Ap Lie Chau Est,, Ap Lei Chau",$51-$100,4,3,Guangdong,Seafood,Dim Sum,Seafood Restaurant,Ap Lei Chau,75,Hong Kong,Southern,11,114.1528532,22.2418581
Fairwood,"Shop 5, Multi-storey Carpark, Ap Lei Chau Estate,, Ap Lei Chau",Below $50,0,1,Hong Kong Style,Fast Food,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
V8 Bakery,"Shop nos. G10-11. Marina Square East Centre, Ap Lei Chau",Below $50,0,0,Hong Kong Style,Bakery,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
,"Shop 58, Ap Lei Chau Main Street, Ap Lei Chau",Below $50,1,0,Hong Kong Style,Snack Shop & Deli,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1558103,22.2442842
Hoi Tin Tong,"Shop 116-117, G/F, Lei Tung Estate Market, 5 Lei Tung Estate Road, Ap Lei Chau",Below $50,0,0,Guangdong,Herbal Tea,Herbal Cuisine,,Ap Lei Chau,40,Hong Kong,Southern,11,114.157507,22.241846
,"Shop B, G/F, Yee On Building, 163 Ap Lei Chau Main Street, Ap Lei Chau",Below $50,0,0,Hong Kong Style,,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.153551,22.243386
,"Shop 57A, Ap Lei Chau Main Street, Ap Lei Chau",Below $50,2,1,Hong Kong Style,Taiwanese Drink,Takeaway,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1559635,22.243939
Wing Shing Medical Company,"G/F, 106  Ap Lei Chau Main Street , Ap Lei Chau",Below $50,2,0,Herbal Tea,Takeaway,,,Ap Lei Chau,40,Chinese,Southern,11,114.1548447,22.2437917
Club Voyage,"2/F Club Voyage, Larvotto, No. 8 Ap Lei Chau Praya Road, Ap Lei Chau",$51-$100,0,0,Hong Kong Style,Western,Club House,,Ap Lei Chau,75,Hong Kong,Southern,11,114.159957,22.239066
,"11 Hung Shung Street, Ap Lei Chau",$51-$100,2,0,Guangdong,Seafood,Stir-Fry,,Ap Lei Chau,75,Hong Kong,Southern,11,114.154269,22.2436985
,________________98A____________,Below $50,2,0,Hong Kong Style,Tea Restaurant,,,Ap Lei Chau,40,Hong Kong,Southern,11,-76.106072,43.4659196
Bridal Tea House,"19-20 WAI FUNG STREET , Ap Lei Chau",$51-$100,2,0,Western,Meatless Menu,Western Restaurant,Hotel Restaurant,Ap Lei Chau,75,Western,Southern,11,114.156432,22.2439205
,________________ 57-63______________,Below $50,1,0,Hong Kong Style,Food Stall Noodles,,,Ap Lei Chau,40,Hong Kong,Southern,11,-76.105797,43.463335
Ching Ching Cake House,________________132______F__,Below $50,1,0,Hong Kong Style,Bakery,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.2391775,22.2958996
New Fai Seafood Restaurant,"67-72 Ap Lei Chau Main Street, Ap Lei Chau",Below $50,0,0,Guangdong,Seafood,Dim Sum,Stir-Fry,Ap Lei Chau,40,Hong Kong,Southern,11,114.155704,22.2439262
McDonald's,"Shop 212, Lei Tung Shopping Centre,, Ap Lei Chau",Below $50,4,1,American,Hamburger,Fast Food,,Ap Lei Chau,40,Western,Southern,11,114.1528532,22.2418581
Saint Honore Cake Shop,"Shop G02, G/F., Marina Square East Centre, Ap Lei Chau",Below $50,0,0,Hong Kong Style,Bakery,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
Ken Fast Food,"Rear Shop, G/F 108 Ap Lei Chan Main St,, Ap Lei Chau",Below $50,2,0,Hong Kong Style,Fast Food,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.155237,22.24391
Genki Sushi,"Shop G46, G49C & G49E, G/F, Marina Square West Wing, Ap Lei Chau",$101-$200,7,2,Japanese,Sushi/Sashimi,Sushi Bar,,Ap Lei Chau,300,Asian,Southern,11,NA,NA
Cafde Coral,"Shop 206, Lei Tung Centre Site 1, Lei Tung Est, Ap Lei Chau",Below $50,8,4,Hong Kong Style,Meatless Menu,Fast Food,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
,"Shop A-C, Shun King Court, 33-39 Ap Lai Chau Main Street, Ap Lei Chau",$51-$100,0,1,Guangdong,Hot Pot,Seafood,Stir-Fry,Ap Lei Chau,75,Hong Kong,Southern,11,114.155237,22.24391
Kentucky Fried Chicken,__________________________1__117-119____,Below $50,0,2,American,Fast Food,,,Ap Lei Chau,40,Western,Southern,11,120.9821382,14.6381861
,____________________13__,Below $50,5,2,Japanese,,,,Ap Lei Chau,40,Asian,Southern,11,114.1840527,22.2798182
,__________________________________,Below $50,2,1,Hong Kong Style,Tea Restaurant,,,Ap Lei Chau,40,Hong Kong,Southern,11,114.109497,22.396428
,"Shop CF6, 1/F, Ap Lei Chau Complex, 8 Hung Shing Street, Ap Lei Chau",Below $50,2,1,Hong Kong Style,Seafood,Dai Pai Dong,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1554216,22.2445
Super Super Congee & Noodle,"G/F,Phrase2,Lei Tung Commercial Complex, Ap Lei Chau",Below $50,9,1,Hong Kong Style,Noodles/Rice Noodles,Congee,Fast Food,Ap Lei Chau,40,Hong Kong,Southern,11,114.1528532,22.2418581
Cafe100%,"Shop 1-3, G/F, Ap Lei Chau Estate Multi-storey Car Park, Ap Lei Chau",Below $50,8,0,Hong Kong Style,Tea Restaurant,Food Wise Eateries,,Ap Lei Chau,40,Hong Kong,Southern,11,114.1564814,22.2426205
Bijas Vegetarian Restaurant,"G/F Run Run Shaw Tower, Central Podium, Centennial Campus, University of Hong Kong, Pok Fu Lam",Below $50,14,1,Western,Vegetarian,Meatless Menu,Western Restaurant,Pok Fu Lam,40,Western,Central and Western,1,114.1352279,22.263521
Starbucks Coffee,"Shop No.2, G/F, Composite Building, The University of Hong Kong, Pok Fu Lam",Below $50,4,0,American,Salad,Coffee Shop,Casual Drink,Pok Fu Lam,40,Western,Central and Western,1,114.1378391,22.2840507
Cafe de Itamomo,"Shop 2D, Wah Fu(I) Shopping Centre, Wah Fu Estate, Pok Fu Lam",Below $50,4,0,Western,Western Restaurant,Food Wise Eateries,,Pok Fu Lam,40,Western,Central and Western,1,114.1290719,22.2679201
Delaney's,"Shop 314, 411, 501 & 601, The Arcade, 100 Cyberport Road, Pok Fu Lam",$101-$200,5,0,Irish,Bar,,,Pok Fu Lam,300,Western,Central and Western,1,-77.813177,34.90046
Grove Cafe,"G/F, The Jockey Club Tower, Centennial Campus, Pok Fu Lam",Below $50,5,0,Western,Sandwich,Meatless Menu,Western Restaurant,Pok Fu Lam,40,Western,Central and Western,1,114.1290719,22.2679201
McDonald's,"Shop 1-2, level 1, The Annex, 100 Cyberport Road, Cyberport, Pok Fu Lam",Below $50,5,1,American,Hamburger,Fast Food,,Pok Fu Lam,40,Western,Central and Western,1,114.1290719,22.2679201
Dynastie Kitchen,"Shop 110, G/F, The Cyberport Arcade, 100 Cyberport Road, Pok Fu Lam",Below $50,7,1,Guangdong,Dim Sum,Stir-Fry,Dim Sum Restaurant,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.130417,22.259638
Cafe 330,"Rm 203, 2/f Chong Yuet Ming Amenities Centre, HKU, Pok Fu Lam",Below $50,3,0,Hong Kong Style,Western,Bakery,Vegetarian,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
Oh Sushi and Tappas,"Shop 307, The Cyberport Arcade, 100 Cyberport Road, Pok Fu Lam",$101-$200,18,7,Japanese,Sushi/Sashimi,,,Pok Fu Lam,300,Asian,Central and Western,1,114.130417,22.259638
Fru:Yo Factory,"G/F, Chong Yuet Ming Amenities Centre, The University of Hong Kong, Pok Fu Lam",Below $50,3,1,Western,Dessert,Ice Cream/yogurt,,Pok Fu Lam,40,Western,Central and Western,1,114.1378391,22.2840507
D lifrance,"Centennial Campus Catering Outlet B, G/F, The Jockey Club Tower, Centennial Campus, The University of Hong Kong, Pok Fu Lam",Below $50,3,0,French,Coffee Shop,,,Pok Fu Lam,40,Western,Central and Western,1,114.1378391,22.2840507
Super Super Congee & Noodle,"G/F, Run Run Shaw Tower, Central Podium, Centennial Campus, Pok Fu Lam",Below $50,3,2,Hong Kong Style,Noodles/Rice Noodles,Congee,Meatless Menu,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
Starbucks Coffee,____________________________,Below $50,24,5,American,Salad,Coffee Shop,Casual Drink,Pok Fu Lam,40,Western,Central and Western,1,114.109497,22.396428
El Charro Mexican Cantina,"Shop 208, Cyberport, 100 Cyberport Road, Pok Fu Lam",$201-$400,3,0,Mexican,Vegetarian,Skewer,Western Restaurant,Pok Fu Lam,150,Others,Central and Western,1,114.130417,22.259638
Nam Fong,"3/F, Le Meridien Cyberport, 100 Cyberport Road, Pok Fu Lam",$101-$200,11,0,Guangdong,Stir-Fry,Hotel Restaurant,,Pok Fu Lam,300,Hong Kong,Central and Western,1,114.130417,22.259638
Chinese Cuisine Training Institute,"7/F Pokfulam Training Centre Complex,145 Pokfulam Road, Pok Fu Lam",$51-$100,10,1,Guangdong,Stir-Fry,,,Pok Fu Lam,75,Hong Kong,Central and Western,1,114.1290719,22.2679201
Mr. Pizza,"G/F, Kingsfield Tower, 73-83 Bonham Road, Pok Fu Lam",$51-$100,5,0,Italian,Pizza,Takeaway,,Pok Fu Lam,75,Western,Central and Western,1,114.1379005,22.2850975
,____________________2__,Below $50,3,0,Hong Kong Style,Meatless Menu,Fast Food,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.2092899,22.3536038
Bar Umami,"G/F, Le Meridien Cyberport, 100 Cyberport Road, Pok Fu Lam",$101-$200,14,2,Japanese,Yoshoku,,,Pok Fu Lam,300,Asian,Central and Western,1,114.130417,22.259638
Lo Ming Kee,"Shop 8, Food Court, Chi Fu Landmark, Pok Fu Lam",Below $50,5,1,Hong Kong Style,Dai Pai Dong,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
HKU Hill View Restaurant,"G/F, Suen Chi Sun Hall, Jockey Club Student Village II, 109 Pokfulam Road, Pok Fu Lam",Below $50,1,0,Hong Kong Style,Japanese,Western,Fast Food,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
Prompt,"4/F, Le Meridien Cyberport, 100 Cyberport Road, Pok Fu Lam",$401-$800,22,21,Western,International,Buffet,Western Restaurant,Pok Fu Lam,600,Western,Central and Western,1,114.130417,22.259638
Subway,"Run Run Shaw Tower, Central Podium, Centennial Campus, University of Hong Kong, Pok Fu Lam",Below $50,2,0,Western,Meatless Menu,Takeaway,Fast Food,Pok Fu Lam,40,Western,Central and Western,1,114.1352279,22.263521
Queen Mary Hospital Staff Canteen,"1/F, Blcok K, 102 Pokfulam Road, Pok Fu Lam",Below $50,2,0,Fast Food,,,,Pok Fu Lam,40,Western,Central and Western,1,114.1290719,22.2679201
,"104 Pok Fu Lam Village, Pok Fu Lam",Below $50,1,0,Hong Kong Style,Noodles/Rice Noodles,Dim Sum,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1307914,22.2690839
McDonald's,"Shop 426-432, Chi Fu South Plaza, Pok Fu Lam",Below $50,4,2,American,Hamburger,Fast Food,,Pok Fu Lam,40,Western,Central and Western,1,114.1343143,22.2854806
Fresh & Fresh Coffee House,"Shop 318, 3/F, Chi Fu Fa Yuen Plaza,, Pok Fu Lam",$51-$100,13,0,Western,Western Restaurant,Coffee Shop,,Pok Fu Lam,75,Western,Central and Western,1,114.1290719,22.2679201
Superpass Restaurant,______________93________,Below $50,1,0,Hong Kong Style,Tea Restaurant,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,-76.1060366,43.4657392
A Hu Mi Xian,"Shop A, G/F, 16-20 Pok Fu Lam Road, Sai Ying Pun, Pok Fu Lam",Below $50,1,0,Yunnan,Noodles/Rice Noodles,Snack Shop & Deli,,Pok Fu Lam,40,Chinese,Central and Western,1,114.1290719,22.2679201
Asia Pacific Catering,"4/F, Haking Wong Building, The University of Hong Kong, Pok Fu Lam",Below $50,2,1,Hong Kong Style,Fast Food,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1378391,22.2840507
PSI,"4/F, Le Meridien Cyberport, 100 Cyberport Road, Pok Fu Lam",Below $50,3,1,Bar,,,,Pok Fu Lam,40,Others,Central and Western,1,114.130417,22.259638
Recharge Cafe,"Portion of the Foyer Area Level 4 Cyberport 2 The Arcade, Cyberport, 100 Cyberport Road, Pok Fu Lam",$51-$100,1,0,Western,Coffee Shop,,,Pok Fu Lam,75,Western,Central and Western,1,114.130417,22.259638
Pepper Lunch,"Shop 403A, 4/F, The Cyberport Arcade, 100 Cyberport Road, Pok Fu Lam",$51-$100,1,0,Japanese,Teppanyaki,Fast Food,,Pok Fu Lam,75,Asian,Central and Western,1,114.130417,22.259638
Yoshinoya,"Shop 305-306, 3/F., Chi Fu Landmark,, Pok Fu Lam",$51-$100,2,0,Japanese,Fast Food,,,Pok Fu Lam,75,Asian,Central and Western,1,114.1290719,22.2679201
Patisserie Les Amis,"Shop 320, 3/F, The Cyberport Arcade, 100 Cyberport Road, Pok Fu Lam",$51-$100,1,0,French,Bakery,Coffee Shop,,Pok Fu Lam,75,Western,Central and Western,1,114.130417,22.259638
Tezukuri No Mise,"Shop No.411, 4/F, Chi Fu Landmark, Pok Fu Lam",Below $50,1,0,Japanese,Ice Cream/yogurt,,,Pok Fu Lam,40,Asian,Central and Western,1,114.1290719,22.2679201
Asia Pacific Catering,"1/F, Block K, Queen Mary Hospital, Pok Fu Lam",Below $50,0,2,Hong Kong Style,,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1308907,22.2711078
Dynastie Shanghai Restaurant,"Shop L304, Cyberport, 100 Cyberport Road, Pok Fu Lam",$51-$100,3,2,Shanghai,,,,Pok Fu Lam,75,Chinese,Central and Western,1,114.130417,22.259638
Big Thumb Cafe,"Basement, 37 Pok Fu Lam Road, Pok Fu Lam",Below $50,2,0,Hong Kong Style,Tea Restaurant,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.138753,22.285235
Golden Lilies Banquet,"Shop 102, The Cyberport Arcade, 100 Cyberport Road, Pok Fu Lam",$401-$800,2,0,Guangdong,Dim Sum Restaurant,,,Pok Fu Lam,600,Hong Kong,Central and Western,1,114.130417,22.259638
Bayview Restaurant,"6 Sassoon Road, Pok Fu Lam",Below $50,17,5,Hong Kong Style,Stir-Fry,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1298709,22.2696132
Tao Heung,"S102, 1/F, Chi Fu Landmark, Chi Fu Road, Pok Fu Lam, HK, Pok Fu Lam",$101-$200,2,1,Guangdong,Hot Pot,Seafood,Dim Sum,Pok Fu Lam,300,Hong Kong,Central and Western,1,114.1290719,22.2679201
Delicious Corner,"2/F, Block A, Cyberport Phase 4, 100 Cyberport Road, Pok Fu Lam",Below $50,2,1,Hong Kong Style,,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1301186,22.2626189
Starbucks Coffee,__________________________4______,Below $50,4,2,American,Salad,Coffee Shop,Casual Drink,Pok Fu Lam,40,Western,Central and Western,1,114.1839029,22.2822972
Ebeneezer's Kebabs & Pizzeria,"Hong Kong University Room 1A13A and 1A13B, Fong Shu Chuen Amenities Centre, 1/F Swire Building, Pokfulam, Pok Fu Lam",$51-$100,1,0,Middle Eastern,Certified Halal Food,Meatless Menu,Western Restaurant,Pok Fu Lam,75,South Asian,Central and Western,1,114.1290719,22.2679201
Western Cuisine Training Restaurant,"6/F, VTC Pokfulam Complex, 145 Pok Fu Lam Road, Pok Fu Lam",$51-$100,0,0,Western,Food Wise Eateries,,,Pok Fu Lam,75,Western,Central and Western,1,114.1356845,22.259863
,"Shop FC2, 2/F, Chi Fu Fa Yuen Plaza, Pok Fu Lam",Below $50,0,0,Taiwan,Wonton/Dumpling,,,Pok Fu Lam,40,Chinese,Central and Western,1,114.1290719,22.2679201
Pizza-Box,"Shop 9, G/F., 73-87 Bonham Rd.,, Pok Fu Lam",$51-$100,7,4,Italian,Pizza,Takeaway,Snack Shop & Deli,Pok Fu Lam,75,Western,Central and Western,1,114.137916,22.285106
Saint Honore Cake Shop,"Shop 402A, Southern District Shopping Centre, Chi Fu,, Pok Fu Lam",Below $50,1,0,Hong Kong Style,Bakery,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
Cafde Coral,"Shop 20, Wah Kwai Centre, Wah Kwai Est, Pok Fu Lam",Below $50,1,0,Hong Kong Style,Meatless Menu,Fast Food,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
Fairwood,"Shop Nos. 501, 532-3, 535-8, 5/F., Chi Fu Landmark, Pokfulam, Hong Kong, Pok Fu Lam",Below $50,0,0,Hong Kong Style,Fast Food,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
Pizza Hut,"Shop 5, Food Carnival, 2/F, Chi Fu Landmark, Pok Fu Lam",$101-$200,0,1,Italian,Pizza,Takeaway,Western Restaurant,Pok Fu Lam,300,Western,Central and Western,1,114.1290719,22.2679201
Pacific Coffee Company,"Global Lounge, G/F, Swire Building, HKU, Pok Fu Lam",Below $50,0,0,Western,Salad,Cake,Coffee Shop,Pok Fu Lam,40,Western,Central and Western,1,114.1290719,22.2679201
HKU CYM Canteen,"4/F, Chong Yuet Ming Amenities Centre, University of Hong Kong, Pok Fu Lam",Below $50,0,0,Hong Kong Style,,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1352279,22.263521
HKU Halal Food Corner,"1/F, Fong Shu Chuen Amenities Centre, The University of Hong Kong, Pok Fu Lam",Below $50,0,0,International,Fast Food,,,Pok Fu Lam,40,International,Central and Western,1,114.1378391,22.2840507
HealthWorks,"Kiosk 2, G/F, Block K, Queen Mary Hospital, 102 Pok Fu Lam Road, Pok Fu Lam",Below $50,0,0,Hong Kong Style,Herbal Tea,Herbal Cuisine,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1307099,22.269253
Hung Fook Tong,"Park 1, Wah Fu Estate Plaza,, Pok Fu Lam",Below $50,1,0,Guangdong,Herbal Tea,Herbal Cuisine,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
The English Speaking Dining Society,"8/F, VTC Pokfulam Complex, 145 Pokfulam Road, Pok Fu Lam",$51-$100,0,0,Guangdong,Food Wise Eateries,,,Pok Fu Lam,75,Hong Kong,Central and Western,1,114.1290719,22.2679201
Club Peak Wing Dining Room,"Club Bel Air Peak Wing, Bel-Air on the Peak, 58 Bel-Air Peak Avenue, Pok Fu Lam",$101-$200,0,0,International,Food Wise Eateries,,,Pok Fu Lam,300,International,Central and Western,1,114.1331283,22.2530255
Club Bay Wing Lobby Lounge,"Club Bel Air Bay Wing, Residence Bel-Air, 48 Bel-Air Avenue, Pok Fu Lam",$101-$200,0,0,International,Food Wise Eateries,,,Pok Fu Lam,300,International,Central and Western,1,114.1322431,22.2579845
Domon Sapporo Ramen Domon,"Shop 409, 4/F, Chi Fu Landmark, Pok Fu Lam",$51-$100,0,0,Japanese,Ramen,,,Pok Fu Lam,75,Asian,Central and Western,1,114.1290719,22.2679201
Eski Mo's Frozen Yogurt,"Shop 416, 4/F, The Cyberport Arcade, 100 Cyberport Road, Pok Fu Lam",Below $50,0,0,Western,Dessert,Ice Cream/yogurt,Snack Shop & Deli,Pok Fu Lam,40,Western,Central and Western,1,114.130417,22.259638
Taste Good Investments Ltd,"Shop 1, G/F, World Fair Court, 4 Wah Lok Path, Pok Fu Lam",Below $50,0,0,Hong Kong Style,Chinese BBQ,Sandwich,Takeaway,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1390341,22.252547
The Pit Juice,"Shop 417, 4/F, Cyberport, 100 Cyberport Road, Pok Fu Lam",Below $50,0,0,Hong Kong Style,Taiwanese Drink,Food Court,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.130417,22.259638
Ga Ga Cuisine,"Shop 409, The Cyberport Arcade, Cyberport, Pok Fu Lam",Below $50,0,0,Hong Kong Style,,,,Pok Fu Lam,40,Hong Kong,Central and Western,1,114.1290719,22.2679201
Pizza Hut,"Shop B, G/F, Hansen Court, 3 St Stephen's Lane, Pok Fu Lam",$101-$200,6,1,Italian,Pizza,Takeaway,Western Restaurant,Pok Fu Lam,300,Western,Central and Western,1,114.1419646,22.2843816
Whirlwind Bakery,______________14______,Below $50,0,0,Western,Bakery,,,Pok Fu Lam,40,Western,Central and Western,1,-76.103789,43.460501
Podium,"4/F, Le Meridien Cyberport, 100 Cyberport Road, Pok Fu Lam",$51-$100,0,0,International,Wine/Cigar,Bar,Hotel Restaurant,Pok Fu Lam,75,International,Central and Western,1,114.130417,22.259638
Stanley Ho Sports Centre Kiosk,"Stanley Ho Sports Centre, 10 Sha Wan Drive, , Pok Fu Lam",Below $50,0,0,Fast Food,,,,Pok Fu Lam,40,Western,Central and Western,1,114.1256495,22.2674971
Lindsay Ride Sports Centre Kiosk,"111-113 Pokfulam Road, Lindsay Ride Sports Centre, Pok Fu Lam",Below $50,0,0,Fast Food,,,,Pok Fu Lam,40,Western,Central and Western,1,114.1290719,22.2679201
Ho Tim Hall Restaurant - Super Pass Canteen,"Jockey Club Student Village I, 91 Pokfulam Road, Pok Fu Lam",Below $50,0,0,Fast Food,,,,Pok Fu Lam,40,Western,Central and Western,1,114.1290719,22.2679201
Mangrove Tuck Shop,"Main Library Covered Podium, The University of Hong Kong, Pok Fu Lam",Below $50,0,0,Fast Food,,,,Pok Fu Lam,40,Western,Central and Western,1,114.1378391,22.2840507
iBakery,"Run Run Shaw Tower, Central Podium, Centennial Campus, University of Hong Kong, Pok Fu Lam",Below $50,0,0,Western,Bakery,Meatless Menu,Social Enterprise Restaurant,Pok Fu Lam,40,Western,Central and Western,1,114.1352279,22.263521
Union Restaurant,"4/F, Haking Wong Building, The University of Hong Kong, Pok Fu Lam",Below $50,0,0,International,Meatless Menu,Fast Food,,Pok Fu Lam,40,International,Central and Western,1,114.1378391,22.2840507
Pasta Di Mio,"LG/F, The Jockey Club Tower, Centennial Campus, The University of Hong Kong, Pok Fu Lam",Below $50,0,0,Fast Food,,,,Pok Fu Lam,40,Western,Central and Western,1,114.1378391,22.2840507
